url,image_url,brand,release_date,discontinued,overseas,summary,factory_finish,coverstock,coverstock_description,coverstock_type,core,core_summary,core_type,spec_12,spec_13,spec_14,spec_15,spec_16
https://www.bowwwl.com/bowling-ball-database/radical/deep-impact,/sites/default/files/styles/ball_grid/public/balls/radical-deep-impact.png?itok=FAgGGmlG 1x,radical,Feb-26,FALSE,FALSE,"The Deep Impact core design features very dynamic after-drilling numbers, which have proven very helpful for locking in your performance. In addition to strong core dynamics, we have wrapped it in our HK22C+ Hybrid cover, which gives it a strong mid-lane move and strong recovery. The Deep Impact has an RG of 2.48, a total differential of .054, and an intermediate differential of .018. It features a 3 to 1 differential ratio between the intermediate and total differential, which we have found yields the best continuation numbers. I've removed the ads from this area. I've run into issues with some Google ads being intrusive or misleading. If you'd like to donate to keep this project going,  .",500/2000 Siaair Micro Pad,HK22C+ Hybrid Coverstock,N/A,Hybrid Reactive,Modified Torpedo Core,N/A,Asymmetric,"{'RG': 2.612, 'Diff': 0.043, 'MB Diff': 0.011}","{'RG': 2.589, 'Diff': 0.043, 'MB Diff': 0.011}","{'RG': 2.497, 'Diff': 0.052, 'MB Diff': 0.02}","{'RG': 2.48, 'Diff': 0.052, 'MB Diff': 0.019}","{'RG': 2.494, 'Diff': 0.045, 'MB Diff': 0.017}"
https://www.bowwwl.com/bowling-ball-database/motiv/evoke-mayhem,,motiv,Feb-26,FALSE,FALSE,"The traditional solid bowling ball is no longer good enough.  Enter the new EVOKE MAYHEM.  After the absolute domination of the Evoke Hysteria, the challenge was to build another Evoke as versatile and successful.  That meant breaking the normal rules.  Instead of starting with a solid coverstock and tweaking it, MOTIV worked backwards from the Propulsion MXV Pearl coverstock—the cover that made the Hysteria special—and asked a different question: How do we formulate this to make it hit harder, read earlier, and still keep the down-lane shape people loved? “We spent a long time testing this one,” said Brett Spangler, MOTIV’s PBA Tour Rep. “There was a lot of pressure after the Hysteria won everything last year. The solution was working backwards from the pearl Hysteria cover, which isn’t how we usually test for solids.”  Then we added Duramax additive technology, allowing the Evoke Mayhem to stay dull longer and maintain performance over longer periods.  The result is a different type of solid coverstock for Motiv; a shell that provides more length and down lane motion than the Leverage™ family of covers, but substantially more traction than Propulsion pearls. The insanely tunable Overload™ asymmetrical core is the most versatile core in the MOTIV line.  It delivers a combination of a low RG, moderate differential, and strong intermediate differential, slotting perfectly below the Predator™ V2 and Apex Predator™ cores featured in the Jackal® series.  The Overload core lets the ball driller dramatically raise or lower the primary differential depending on layout.  That means you can control total flare in a meaningful way. More flare when you need strength.  Less flare when you need control. That level of adjustability means more bowlers can match up with the Evoke Mayhem in even more environments! In short, the Evoke Mayhem fills the gap that didn’t exist before, allowing you to embrace the chaos!   I've removed the ads from this area. I've run into issues with some Google ads being intrusive or misleading. If you'd like to donate to keep this project going,  .",2000 LSS,Propulsion MXV (Maximum Versatility) Solid Coverstock,N/A,Solid Reactive,Overload Core,N/A,Asymmetric,"{'RG': 2.64, 'Diff': 0.025, 'MB Diff': 0.008}","{'RG': 2.57, 'Diff': 0.035, 'MB Diff': 0.012}","{'RG': 2.51, 'Diff': 0.045, 'MB Diff': 0.015}","{'RG': 2.48, 'Diff': 0.05, 'MB Diff': 0.015}","{'RG': 2.48, 'Diff': 0.045, 'MB Diff': 0.015}"
https://www.bowwwl.com/bowling-ball-database/900-global/vengeance,/sites/default/files/styles/ball_grid/public/balls/900-global-vengeance.png?itok=aUi1OZu- 1x,900-global,Jan-26,FALSE,FALSE,"The oil didn’t get lighter. Your ball choice just got smarter. The Vengeance was built for medium–heavy to heavy oil conditions, delivering strength without overreaction. This all-new core and cover combination produces one of the most dynamic symmetrical balls in 900 Global history, creating a readable, confident shape that holds up from the first frame to the last. It picks up in the mid-lane, stays smooth as the lanes transition, and still finishes with purpose downlane. Strong enough to start league. Stable and predictable enough to last. Engineered for medium/heavy–heavy oil. Surprisingly good at everything else. The Blast A.I. Core features the highest differential in the 900 Global line, using a single-density shape to create a strong, predictable mid-lane read while saving energy for the back end. Translation: it doesn’t panic early, and it doesn’t quit late. You get shape you can trust, even when the lanes stop cooperating. I've removed the ads from this area. I've run into issues with some Google ads being intrusive or misleading. If you'd like to donate to keep this project going,  .",2000 Abralon,Reserve Blend 91 Solid Coverstock,"RB91 is one of the strongest covers we’ve ever put on an 800 Series ball, designed to absorb oil quickly and handle today’s heavier volumes with ease. It grips when there’s oil, stays controlled when there isn’t, and avoids the sudden overreaction that can send other strong balls sideways.",Solid Reactive,Blast A.I. Core,"The Blast A.I. Core features the highest differential in the 900 Global line, using a single-density shape to create a strong, predictable mid-lane read while saving energy for the back end. Translation: it doesn’t panic early, and it doesn’t quit late. You get shape you can trust, even when the lanes stop cooperating.",Symmetric,"{'RG': 2.64, 'Diff': 0.037, 'MB Diff': None}","{'RG': 2.58, 'Diff': 0.047, 'MB Diff': None}","{'RG': 2.48, 'Diff': 0.056, 'MB Diff': None}","{'RG': 2.47, 'Diff': 0.055, 'MB Diff': None}","{'RG': 2.46, 'Diff': 0.056, 'MB Diff': None}"
https://www.bowwwl.com/bowling-ball-database/roto-grip/transformer,/sites/default/files/styles/ball_grid/public/balls/roto-grip-transformer.png?itok=cok9m3Ny 1x,roto-grip,Jan-26,FALSE,FALSE,"Meet the TRANSFORMER, the ball that rewrites the rules of performance and tunability. Built for serious bowlers and pro shops looking for the ultimate competitive edge, the TRANSFORMER does not just react it transforms to meet your exact needs. This is not just an asymmetric core; it is a dynamic masterpiece. The proprietary Morph-Wing™ Core is engineered to change drastically when drilled. Unlike traditional asymmetrical cores, displacing mass in the wing section fundamentally alters the core numbers, unlocking a completely new flare pattern and ball motion. The power of transformation is paired with the reliable grip of the V-R1™ Solid Reactive coverstock. This Versatile Response material delivers the most balanced and dependable traction to reaction ratio of any of our nano free materials, increasing overall versatility. Without a doubt, the TRANSFORMER has the most transformable and tunable hook potential and breakpoint shape on the market today. Its unique core design makes it easy to add a specific motion to any arsenal, instantly giving you a distinct advantage over the competition. Stop adapting to the lanes. Make the lanes adapt to you. Get the TRANSFORMER today and take control of your breakpoint. The Morph-Wing™ Core is a dynamic, one of a kind shape that changes more than any other core in the industry when drilled. It all comes down to controlled weight shift. When your pro shop drills into the core’s wing, the internal mass distribution changes dramatically, transforming the core numbers and unlocking a completely different flare pattern and motion that no other asymmetric design can replicate. For traditional thumb players, the Morph-Wing™ Core delivers two distinct performance profiles. A pin up layout keeps the thumb hole away from the precession wing, enhancing torque induced precession and helping the ball retain axis rotation for a stronger backend motion and increased entry angle. A pin down layout places the thumb hole into the precession wing, inhibiting torque induced precession while enhancing asymmetrical dynamics, resulting in an earlier roll and a smoother, more rounded reaction. For two handed bowlers, hitting the precession wing with a 3.5 to 5.5 inch pin to COG distance produces an earlier and smoother motion. Missing the precession wing with distances under 3.5 inches or over 5.5 inches creates a cleaner look through the front with a more angular backend shape. Regardless of layout, the Morph-Wing™ Core is engineered to maintain its structural integrity. This enhances torque induced precession for every style of bowler, keeping the ball on its intended path and delivering a stable, continuous hook that drives through the pin deck. You get maximum transformation without sacrificing consistency. I've removed the ads from this area. I've run into issues with some Google ads being intrusive or misleading. If you'd like to donate to keep this project going,  .",4000 Abralon,V-R1 Solid Coverstock,"The Versatile Response Solid (V-R1™) is a proprietary hyper reactive solid reactive matrix formulated with a precise blend of polymers and chemical additives. Its unique Dynamic Surface Friction profile generates controlled, predictable traction through the midlane and backend on medium to medium heavy oil volumes. The V-R1™ coverstock resists premature burnout and over reaction at the breakpoint, ensuring sustained surface integrity and reliable motion across a wide range of lane conditions and bowler styles. Engineered specifically for medium to medium heavy oil, it delivers confidence, control, and consistency shot after shot.",Solid Reactive,Morph-Wing Core,"The Morph-Wing™ Core is a dynamic, one of a kind shape that changes more than any other core in the industry when drilled. It all comes down to controlled weight shift. When your pro shop drills into the core’s wing, the internal mass distribution changes dramatically, transforming the core numbers and unlocking a completely different flare pattern and motion that no other asymmetric design can replicate. For traditional thumb players, the Morph-Wing™ Core delivers two distinct performance profiles. A pin up layout keeps the thumb hole away from the precession wing, enhancing torque induced precession and helping the ball retain axis rotation for a stronger backend motion and increased entry angle. A pin down layout places the thumb hole into the precession wing, inhibiting torque induced precession while enhancing asymmetrical dynamics, resulting in an earlier roll and a smoother, more rounded reaction. For two handed bowlers, hitting the precession wing with a 3.5 to 5.5 inch pin to COG distance produces an earlier and smoother motion. Missing the precession wing with distances under 3.5 inches or over 5.5 inches creates a cleaner look through the front with a more angular backend shape. Regardless of layout, the Morph-Wing™ Core is engineered to maintain its structural integrity. This enhances torque induced precession for every style of bowler, keeping the ball on its intended path and delivering a stable, continuous hook that drives through the pin deck. You get maximum transformation without sacrificing consistency.",Asymmetric,"{'RG': 2.59, 'Diff': 0.029, 'MB Diff': 0.008}","{'RG': 2.57, 'Diff': 0.032, 'MB Diff': 0.01}","{'RG': 2.53, 'Diff': 0.053, 'MB Diff': 0.013}","{'RG': 2.51, 'Diff': 0.051, 'MB Diff': 0.015}","{'RG': 2.5, 'Diff': 0.05, 'MB Diff': 0.015}"
https://www.bowwwl.com/bowling-ball-database/storm/virtual-gravity-destino,/sites/default/files/styles/ball_grid/public/balls/storm-virtual-gravity-destino.png?itok=nKDc0M8- 1x,storm,Jan-26,FALSE,TRUE,"Translated from Japanese: The legendary representative model of STORM, the powerful engine Shape Rock ™ HD Core with a reputation for good rolling, has been enhanced with A.I. technology. In addition to running and sharpness, the appearance of the next-generation cover stock ""A1S™ Pearl Reactive"" that debuted with the ""EQUINOX™"" with high oil absorption rate is too strong news. The feature of this cover stock is that it has a high oil absorption rate but generates a smooth skid in the front area, storing plenty of energy for the back end. With this high oil absorption rate ""A1S™ Pearl Reactive"" ability, it has excellent stable response even in dry zones that are slightly carried down, and explodes intense and destructive power. This best match resulted in the strongest ball that everyone wanted. I've removed the ads from this area. I've run into issues with some Google ads being intrusive or misleading. If you'd like to donate to keep this project going,  .",Power Edge,A1S Pearl Coverstock,"The A1S Pearl Reactive, powered by Storm’s Adhesion System technology, delivers exceptional lane grip and responsiveness, setting a new standard in performance. Engineered for exceptional tackiness, this innovative material is also one of the fastest oil-absorbing coverstocks in our lineup. That means less oil lingers on the surface between shots, helping the ball maintain full contact with the lane for a cleaner, more consistent motion. Without this absorption, oil buildup can cause the ball to hydroplane or ""miss the spot""—leading to unpredictable results. Paired with our Power Edge Polish, A1S delivers effortless length and a sharp, controlled move at the breakpoint.",Pearl Reactive,Shape-Lock HD A.I. Core,N/A,Asymmetric,"{'RG': 2.58, 'Diff': 0.031, 'MB Diff': 0.009}","{'RG': 2.56, 'Diff': 0.034, 'MB Diff': 0.011}","{'RG': 2.52, 'Diff': 0.052, 'MB Diff': 0.018}","{'RG': 2.47, 'Diff': 0.054, 'MB Diff': 0.021}","{'RG': 2.47, 'Diff': 0.05, 'MB Diff': 0.02}"
https://www.bowwwl.com/bowling-ball-database/dv8/dark-side-curse,/sites/default/files/styles/ball_grid/public/balls/ev8-dark-side-curse.png?itok=nnkM-wkv 1x,dv8,Jan-26,FALSE,FALSE,"DV8 is the go-to brand for the fastest-growing group in bowling: no-thumb bowlers. We’ve focused our research and development on crafting the best bowling balls for no-thumb players, understanding that they need products as unique as they are. That’s why we created the new Dark Side Curse. It’s not flashy, won’t skid-flip, and isn’t designed for the heaviest oil, but it will quickly become the most used ball in any no-thumb bowler’s arsenal. Offering unmatched control and consistency, the Dark Side Curse helps rev-dominant or speed-deficient players put up big scores across a wide range of lane conditions. As always, our no-thumb lineup features a patent-pending core technology to help no-thumb bowlers maximize their game. Visit the No-Thumb Resource page on dv8bowling.com for more information. I've removed the ads from this area. I've run into issues with some Google ads being intrusive or misleading. If you'd like to donate to keep this project going,  .","500/1000/1500 Siaair, Crown Factory Compound",Inciter Solid Coverstock,N/A,Solid Reactive,Duality Core,N/A,Symmetric,"{'RG': 2.599, 'Diff': 0.043, 'MB Diff': None}","{'RG': 2.577, 'Diff': 0.043, 'MB Diff': None}","{'RG': 2.503, 'Diff': 0.035, 'MB Diff': None}","{'RG': 2.48, 'Diff': 0.036, 'MB Diff': None}","{'RG': 2.494, 'Diff': 0.031, 'MB Diff': None}"
https://www.bowwwl.com/bowling-ball-database/ebonite/spartan,/sites/default/files/styles/ball_grid/public/balls/ebonite-spartan.png?itok=bEfNke_7 1x,ebonite,Jan-26,FALSE,FALSE,"The Spartan charges into the Ebonite lineup as a fighter, built for heavy oil. This one demands volume — and rewards you with incredible continuation and backend motion rarely seen in a ball with this much traction. The Spartan’s core shape is inspired by the proven Iron Fist design from the Warrior series, now paired with the most advanced cover in the game: HK22C² with Optimize Solid additives. The combination of aggressive core numbers and this game-changing cover creates an oil-fighting warrior that looks unstoppable from start to finish. I've removed the ads from this area. I've run into issues with some Google ads being intrusive or misleading. If you'd like to donate to keep this project going,  .",500/1500 Siaair Micro Pad,HK22C2 - Optimize Solid Coverstock,HK22C,,Iron Fist V2 Core,N/A,Asymmetric,"{'RG': 2.593, 'Diff': 0.041, 'MB Diff': 0.014}","{'RG': 2.597, 'Diff': 0.041, 'MB Diff': 0.014}","{'RG': 2.49, 'Diff': 0.053, 'MB Diff': 0.019}","{'RG': 2.473, 'Diff': 0.053, 'MB Diff': 0.019}","{'RG': 2.485, 'Diff': 0.047, 'MB Diff': 0.017}"
https://www.bowwwl.com/bowling-ball-database/hammer/black-widow-30-dynasty,/sites/default/files/styles/ball_grid/public/balls/hammer-black-widow-30-dynasty.png?itok=geEzBTKp 1x,hammer,Jan-26,FALSE,FALSE,"The Black Widow 3.0 Dynasty was created to enhance the line by not re-creating what is already on the market but offering something new. The Black Widow 3.0 Dynasty’s HK22 Cohesion Solid cover provides more overall hook than a Black Widow 2.0 and more length and flip compared to a Black Widow 3.0. This is the strongest Black Widow to date, while complementing the big hooking oil balls like Maximum Effect, and Zero Mercy Solid as a ball to step down to. We’ve given you the Black Widow motion you’ve come to expect for 20 years, just more of it. The Gas Mask core is the most iconic weight block in bowling. It is known for its large flare potential, versatility amongst bowling styles and its backend bite. I've removed the ads from this area. I've run into issues with some Google ads being intrusive or misleading. If you'd like to donate to keep this project going,  .",500/1000/2000 Siaair Micro Pad,HK22C - Cohesion Solid Coverstock,N/A,Solid Reactive,Gas Mask Core,"The Gas Mask core is the most iconic weight block in bowling. It is known for its large flare potential, versatility amongst bowling styles and its backend bite.",Asymmetric,"{'RG': 2.612, 'Diff': 0.043, 'MB Diff': 0.011}","{'RG': 2.589, 'Diff': 0.043, 'MB Diff': 0.011}","{'RG': 2.5, 'Diff': 0.056, 'MB Diff': 0.016}","{'RG': 2.5, 'Diff': 0.058, 'MB Diff': 0.016}","{'RG': 2.51, 'Diff': 0.048, 'MB Diff': 0.015}"
https://www.bowwwl.com/bowling-ball-database/hammer/hammerhead-pearl,/sites/default/files/styles/ball_grid/public/balls/hammer-hammerhead-pearl.png?itok=r3Yo9Kf8 1x,hammer,Jan-26,FALSE,FALSE,"The Hammerhead made waves as a no-nonsense benchmark ball that delivers unbeatable value. Now, the line evolves. The Hammerhead Pearl attacks medium to broken-down lanes with explosive backend motion and the unmistakable Hammer attitude. When the bigger hooking balls start burning up or losing energy, this one keeps striking. Powered by the proven Spheroid core and HK22 – Aggression Pearl cover, the Hammerhead Pearl doesn’t just fill a gap—it owns it. This ball was built to dominate. I've removed the ads from this area. I've run into issues with some Google ads being intrusive or misleading. If you'd like to donate to keep this project going,  .","500/1000/1500 Siaair, Crown Factory Compound",HK22 - Aggressive Pearl Coverstock,N/A,Pearl Reactive,Spheroid (2025) Core,N/A,Symmetric,"{'RG': 2.608, 'Diff': 0.04, 'MB Diff': None}","{'RG': 2.585, 'Diff': 0.04, 'MB Diff': None}","{'RG': 2.51, 'Diff': 0.048, 'MB Diff': None}","{'RG': 2.481, 'Diff': 0.048, 'MB Diff': None}","{'RG': 2.5, 'Diff': 0.039, 'MB Diff': None}"
https://www.bowwwl.com/bowling-ball-database/radical/outer-limits-black-hole,/sites/default/files/styles/ball_grid/public/balls/radical-outer-limits-black-hole.png?itok=zT0YKP8W 1x,radical,Jan-26,FALSE,FALSE,"The Outer Limits Black Hole has an RG of 2.499, a total Differential of 0.051, and an Intermediate Differential of 0.014. The success of the Outer Limits line is due to its down lane motion and continuation. The Outer Limits line has been very successful since early 2023 and continues to sell well with The Outer Limits Solid. I've removed the ads from this area. I've run into issues with some Google ads being intrusive or misleading. If you'd like to donate to keep this project going,  .","500/1000/1500 Siaair, Crown Factory Compound",HK22C Solid Coverstock,N/A,Solid Reactive,Outer Limits Core,N/A,Asymmetric,"{'RG': 2.612, 'Diff': 0.043, 'MB Diff': 0.011}","{'RG': 2.589, 'Diff': 0.043, 'MB Diff': 0.011}","{'RG': 2.515, 'Diff': 0.051, 'MB Diff': 0.014}","{'RG': 2.499, 'Diff': 0.051, 'MB Diff': 0.014}","{'RG': 2.509, 'Diff': 0.045, 'MB Diff': 0.013}"
