number,description,finish
500/2000,Siaair Micro Pad,500/2000 Siaair Micro Pad
2000,LSS,2000 LSS
2000,Abralon,2000 Abralon
4000,Abralon,4000 Abralon
,Power Edge,Power Edge
500/1000,"/1500 Siaair, Crown Factory Compound","500/1000/1500 Siaair, Crown Factory Compound"
500/1500,Siaair Micro Pad,500/1500 Siaair Micro Pad
500/1000,/2000 Siaair Micro Pad,500/1000/2000 Siaair Micro Pad
5000,LSS,5000 LSS
500/1000,Siaair Micro Pad,500/1000 Siaair Micro Pad
500/1000,"/2000 Siaair, Crown Factory Compound","500/1000/2000 Siaair, Crown Factory Compound"
500,"Siaair, Crown Factory Compound, Crown Factory Polish","500 Siaair, Crown Factory Compound, Crown Factory Polish"
3000,Abralon,3000 Abralon
5500,LSP,5500 LSP
,Xtra Shine,Xtra Shine
2000,LSP,2000 LSP
1500,Polished,1500 Polished
500/1000,/3000 Siaair Micro Pad,500/1000/3000 Siaair Micro Pad
3000,LSS,3000 LSS
500/1000,"Siaair, Crown Factory Compound","500/1000 Siaair, Crown Factory Compound"
500/1000,/1500 Siaair Micro Pad,500/1000/1500 Siaair Micro Pad
500/3000,Siaair Micro Pad,500/3000 Siaair Micro Pad
3500,Polished,3500 Polished
1000,LSS,1000 LSS
4000,LSS,4000 LSS
,Reacta Gloss,Reacta Gloss
2000,"Abralon, Polish","2000 Abralon, Polish"
500/1000,"/2000 Siaair, Crown Factory Compound, Crown Factory Polish","500/1000/2000 Siaair, Crown Factory Compound, Crown Factory Polish"
1500,Abralon,1500 Abralon
2500,Sanded,2500 Sanded
1000,Abralon,1000 Abralon
500/1000,"/1500 Siaair, Crown Factory Polish","500/1000/1500 Siaair, Crown Factory Polish"
800,"Abralon, Diamond Compound II Polish","800 Abralon, Diamond Compound II Polish"
2000,Polished,2000 Polished
,Polished,Polished
2000,"Abralon, Factory Finish Polish","2000 Abralon, Factory Finish Polish"
500/1500,/3000 Siaair Micro Pad,500/1500/3000 Siaair Micro Pad
3000,"Abralon, Factory Polish","3000 Abralon, Factory Polish"
500,Abralon,500 Abralon
6000,LSP,6000 LSP
500/1000,"/2000 Siaair, Crown Factory Polish","500/1000/2000 Siaair, Crown Factory Polish"
500/1000,/2000 Abralon,500/1000/2000 Abralon
2000,Sanded,2000 Sanded
2000,Sheen,2000 Sheen
500,Siaair Micro Pad,500 Siaair Micro Pad
3000,Polished,3000 Polished
4000,Sanded,4000 Sanded
3000,Sanded,3000 Sanded
500/1500,/4000 Siaair Micro Pad,500/1500/4000 Siaair Micro Pad
,Crown Factory Polish,Crown Factory Polish
1000,Siaair,1000 Siaair
4,k Fast,4k Fast
10,",000 Polish","10,000 Polish"
2500,Sheen,2500 Sheen
2000,Siaair Micro Pad,2000 Siaair Micro Pad
4500,LSS,4500 LSS
500,"Siaair, Crown Factory Compound","500 Siaair, Crown Factory Compound"
1500,Siaair Micro Pad,1500 Siaair Micro Pad
1000,Sanded,1000 Sanded
2000,Sanded with Factory Polish,2000 Sanded with Factory Polish
5000,LSP,5000 LSP
360/800,Siaair Micro Pad,360/800 Siaair Micro Pad
4000,Polished,4000 Polished
4000,Sanded with Factory Polish,4000 Sanded with Factory Polish
1000,Polished,1000 Polished
1500,Sanded,1500 Sanded
1000,Polish,1000 Polish
500,"Grit, Factory Compound, Factory Polish","500 Grit, Factory Compound, Factory Polish"
360/500,/2000 Siaair Micro Pad,360/500/2000 Siaair Micro Pad
500/1000,"Abralon, Powerhouse Factory Finish Polish","500/1000 Abralon, Powerhouse Factory Finish Polish"
500/1000,Abralon,500/1000 Abralon
360/1000,Abralon,360/1000 Abralon
500/2000,Abralon,500/2000 Abralon
500,"Siaair, Crown Factory Shine","500 Siaair, Crown Factory Shine"
1500,"Wet Sand, Power Gel Polish","1500 Wet Sand, Power Gel Polish"
500/4000,Siaair Micro Pad,500/4000 Siaair Micro Pad
3000,Sheen,3000 Sheen
500,"Siaair, Royal Compound, Royal Shine","500 Siaair, Royal Compound, Royal Shine"
500/1000,"Abralon, Powerhouse Clean N' Sheen","500/1000 Abralon, Powerhouse Clean N' Sheen"
1000,Sanded with Factory Polish,1000 Sanded with Factory Polish
,NEAT A 2500 Grit,NEAT A 2500 Grit
500,"Siaair, Royal Compound","500 Siaair, Royal Compound"
500/2000,/4000 Siaair Micro Pad,500/2000/4000 Siaair Micro Pad
500/500,"/500/1000 Abralon, Powerhouse Factory Finish Polish","500/500/500/1000 Abralon, Powerhouse Factory Finish Polish"
,High Gloss,High Gloss
500/500,/1000 Abralon,500/500/1000 Abralon
4000,"Wet Sand, Power Gel Polish","4000 Wet Sand, Power Gel Polish"
500,"Abralon, 1500 Abranet, Powerhouse Factory Finish Polish","500 Abralon, 1500 Abranet, Powerhouse Factory Finish Polish"
2000,"Wet Sand, Power Gel Polish","2000 Wet Sand, Power Gel Polish"
500,"abralon, 1500 abranet","500 abralon, 1500 abranet"
500,"Siaair, Rough Buff","500 Siaair, Rough Buff"
500,"Siaair Micro Pad, Rough Buff, High Gloss Finish","500 Siaair Micro Pad, Rough Buff, High Gloss Finish"
2000,Wet Sand,2000 Wet Sand
4000,Wet Sand,4000 Wet Sand
2000,"Abralon, Powerhouse Factory Finish","2000 Abralon, Powerhouse Factory Finish"
1000,Wet Sand,1000 Wet Sand
500/1500,"Siaair, Rough Buff","500/1500 Siaair, Rough Buff"
800,"Abranet, 1000/2000/3000 Abralon","800 Abranet, 1000/2000/3000 Abralon"
500/800,/4000 Siaair Micro Pad,500/800/4000 Siaair Micro Pad
4000,Power Gel Polish,4000 Power Gel Polish
,"Rough Buff, High Gloss","Rough Buff, High Gloss"
,Matte,Matte
4000,Siaair Micro Pad,4000 Siaair Micro Pad
1000,"Wet Sand, Power Gel Polish","1000 Wet Sand, Power Gel Polish"
800,Wet Sand,800 Wet Sand
,Rough Buff,Rough Buff
4000,Grit NEAT T,4000 Grit NEAT T
600,Wet Sand,600 Wet Sand
600,"Sand, 2000 Polish","600 Sand, 2000 Polish"
,Sanded,Sanded
400,Wet Sand,400 Wet Sand
,Highly Polished,Highly Polished
500,Matte,500 Matte
,Sheen,Sheen
1500,Matte,1500 Matte
1200,"Grit ""Fine""","1200 Grit ""Fine"""
1200,Sanded,1200 Sanded
320,Wet Sand,320 Wet Sand
500,"Abralon, Compound Polish","500 Abralon, Compound Polish"
800/1000,"/2000 Abralon, Powerhouse Factory Finish Polish","800/1000/2000 Abralon, Powerhouse Factory Finish Polish"
4000,"Abralon, Polish","4000 Abralon, Polish"
1000,"Abralon, Polish","1000 Abralon, Polish"
2000,,2000
500/500,", 1000 Factory Polish","500/500, 1000 Factory Polish"
1000,"Abralon, Black Magic Polish","1000 Abralon, Black Magic Polish"
800,"Abranet, 1000/2000 Abralon, Powerhouse Factory Finish Polish","800 Abranet, 1000/2000 Abralon, Powerhouse Factory Finish Polish"
500/1000,/2000/3000 Abralon,500/1000/2000/3000 Abralon
800/1000,"/2000/4000 Abralon, Powerhouse Factory Finish","800/1000/2000/4000 Abralon, Powerhouse Factory Finish"
800/1000,/2000/4000 Abralon,800/1000/2000/4000 Abralon
500/800,"Abranet, 1000/2000 Abralon","500/800 Abranet, 1000/2000 Abralon"
2000,"Abralon, Compound, Fine Polish","2000 Abralon, Compound, Fine Polish"
,Halfway 1000 grit w/ Brown Compound,Halfway 1000 grit w/ Brown Compound
1200,Smooth,1200 Smooth
800,Matte,800 Matte
400,Matte,400 Matte
1500,Smooth Sanded,1500 Smooth Sanded
35,Micron Trizact,35 Micron Trizact
500,Compound,500 Compound
600,Sheen,600 Sheen
1000,Matte,1000 Matte
600,Satin,600 Satin
600,Matte,600 Matte
240,Grit Sanded,240 Grit Sanded
,Durajet Finish,Durajet Finish
