Series,Ball,CoverSName,CoverSFinish,Weight,RG,DIFF,MBDIFF,Finish_Number,Length,Backend,Hook,eVL,sVA,HookPotential
Jackal Onyx,Predator™ V2 Asymmetric,Leverage HXC Solid,1000 LSS,12,2.64,.030,.010,1000,53,70,87,55.10010525140558,35.70774952578545,50.070881721764934
Jackal Onyx,Predator™ V2 Asymmetric,Leverage HXC Solid,1000 LSS,13,2.57,.040,.011,1000,53,70,87,41.3981520248343,52.91847468218129,63.69854181356471
Jackal Onyx,Predator™ V2 Asymmetric,Leverage HXC Solid,1000 LSS,14,2.51,.049,.014,1000,53,70,87,28.747300834084978,68.72722060977273,69.03262777823485
Jackal Onyx,Predator™ V2 Asymmetric,Leverage HXC Solid,1000 LSS,15,2.47,.054,.015,1000,53,70,87,20.806524743903182,78.4223826648668,74.18135870244997
Jackal Onyx,Predator™ V2 Asymmetric,Leverage HXC Solid,1000 LSS,16,2.48,.047,.013,1000,53,70,87,24.005564190820355,72.76720286707243,69.7203731294031
Raptor Reign,Affliction™ V2 Symmetric,Leverage MXV Solid,2000 LSS,12,2.64,.029,,2000,60,74,83,62.643060109426855,31.895335281647647,47.942607329780905
Raptor Reign,Affliction™ V2 Symmetric,Leverage MXV Solid,2000 LSS,13,2.57,.040,,2000,60,74,83,49.25879299001538,49.13925152386615,61.69778337647053
Raptor Reign,Affliction™ V2 Symmetric,Leverage MXV Solid,2000 LSS,14,2.50,.053,,2000,60,74,83,35.69908727411275,67.2603607485407,68.16234565028385
Raptor Reign,Affliction™ V2 Symmetric,Leverage MXV Solid,2000 LSS,15,2.48,.055,,2000,60,74,83,31.97526158084732,71.68594082777105,70.05290915287334
Raptor Reign,Affliction™ V2 Symmetric,Leverage MXV Solid,2000 LSS,16,2.48,.053,,2000,60,74,83,32.15070017733855,70.8087478453149,69.26673205845634
Jackal Ghost,Predator™ V2 Asymmetric,Coercion HFS,3000 LSS,12,2.64,.030,.010,3000,65,75,76,61.343930304465204,36.95651453639738,51.57709469494893
Jackal Ghost,Predator™ V2 Asymmetric,Coercion HFS,3000 LSS,13,2.57,.040,.011,3000,65,75,76,47.641977077893934,54.16723969279322,65.15696496764618
Jackal Ghost,Predator™ V2 Asymmetric,Coercion HFS,3000 LSS,14,2.51,.049,.014,3000,65,75,76,34.9911258871446,69.97598562038465,70.23813052495765
Jackal Ghost,Predator™ V2 Asymmetric,Coercion HFS,3000 LSS,15,2.47,.054,.015,3000,65,75,76,27.050349796962813,79.67114767547872,75.1364338243687
Jackal Ghost,Predator™ V2 Asymmetric,Coercion HFS,3000 LSS,16,2.48,.047,.013,3000,65,75,76,30.24938924387998,74.01596787768436,70.61934052930832
Apex Jackal,Apex Predator™,Propulsion MXV Pearl,5000 LSS,12,2.64,.033,.014,5000,73,90,78,64.31339476065537,40.86477442621294,53.151657949809334
Apex Jackal,Apex Predator™,Propulsion MXV Pearl,5000 LSS,13,2.64,.035,.017,5000,73,90,78,62.92173994794792,42.958183624885294,54.4862691447305
Apex Jackal,Apex Predator™,Propulsion MXV Pearl,5000 LSS,14,2.55,.052,.020,5000,73,90,78,44.24655372607236,67.59828212746262,69.86288452788008
Apex Jackal,Apex Predator™,Propulsion MXV Pearl,5000 LSS,15,2.52,.055,.020,5000,73,90,78,38.66081518617426,74.23665224630808,73.41538055759642
